search URL:,https://patents.google.com/?q=%28patents+for+UAV+long-range+communication%252c+EM+shielding+techniques+for+drones%252c+robust+wireless+links+remote-controlled+aircraft%29&oq=patents+for+UAV+long-range+communication%252c+EM+shielding+techniques+for+drones%252c+robust+wireless+links+for+remote-controlled+aircraft
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-110364031-B,Path planning and wireless communication method for UAV swarms in ground sensor networks ,北京交通大学,"沈超, 宗佳颖, 成晶, 曹瑷麟",2019-07-11,2019-07-11,2020-12-15,2020-12-15,https://patents.google.com/patent/CN110364031B/en,https://patentimages.storage.googleapis.com/ec/8c/e4/cff4200702655a/HDA0002126863570000011.png
EP-3035558-B1,Cellular communication network through unmanned aerial vehicle cellular communication links ,The Boeing Company,Daniel J DAOURA,2014-12-17,2015-11-25,2018-06-27,2018-06-27,https://patents.google.com/patent/EP3035558B1/en,https://patentimages.storage.googleapis.com/be/e3/42/88f6379a5fe03e/imgf0001.png
CN-108349589-B,Airborne relay in cooperative MIMO systems ,珍吉斯科姆控股有限责任公司,史蒂夫·沙特里,2015-07-27,2016-07-25,2021-03-09,2021-03-09,https://patents.google.com/patent/CN108349589B/en,https://patentimages.storage.googleapis.com/58/e4/14/6cde64c5d6c967/HDA0001559594510000011.png
CN-106788677-B,Unmanned aerial vehicle data relay device based on mobile data network and method thereof ,佛山科学技术学院,"陈勇, 陈文贵, 梁嘉壕, 段然",2016-12-09,2016-12-09,2022-05-06,2022-05-06,https://patents.google.com/patent/CN106788677B/en,https://patentimages.storage.googleapis.com/27/2c/21/61fd02652f5bc6/161208172724.png
CN-109716816-B,"Circuit, base station, method, and recording medium ",索尼公司,"吉泽淳, 内山博允",2016-09-27,2017-08-15,2022-10-14,2022-10-14,https://patents.google.com/patent/CN109716816B/en,https://patentimages.storage.googleapis.com/d9/da/a6/857bd489ad5ee0/HDA0002000254420000011.png
CN-107918402-A,One kind is based on mobile network's unmanned plane cluster flight system ,广东容祺智能科技有限公司,"谭志平, 李林, 邓彤, 叶茂林, 陈建伟",2017-12-02,2017-12-02,2018-04-17,,https://patents.google.com/patent/CN107918402A/en,
US-12230150-B2,Software defined drone network control system ,Northeastern University,"Tommaso MELODIA, Lorenzo BERTIZZOLO, Zhangyu GUAN, Salvatore D'ORO",2019-04-12,2020-02-12,2025-02-18,2025-02-18,https://patents.google.com/patent/US12230150B2/en,https://patentimages.storage.googleapis.com/d1/c6/40/031c0a15f8e592/US12230150-20250218-D00000.png
CN-105933653-A,Image and data transmission system of drone centerless Ad-hoc network ,"国网四川省电力公司电力应急中心, 国家电网公司","邓创, 王圣伟, 张万宁",2016-05-10,2016-05-10,2016-09-07,,https://patents.google.com/patent/CN105933653A/en,
US-9836047-B2,Aerial vehicle data communication system ,"Kespry, Inc.","Robert Parker Clark, John D. Laxson, Paul Doersch",2015-06-10,2015-06-10,2017-12-05,2017-12-05,https://patents.google.com/patent/US9836047B2/en,https://patentimages.storage.googleapis.com/27/d0/54/65119cc8d5a82f/US09836047-20171205-D00000.png
CN-108886428-B,Managing network communications for unmanned autonomous vehicles ,高通股份有限公司,"C·W·斯威特三世, E·H·蒂格, M·F·塔维拉",2016-04-07,2017-01-25,2021-08-10,2021-08-10,https://patents.google.com/patent/CN108886428B/en,https://patentimages.storage.googleapis.com/d3/fc/14/eb30d1b94de4ca/HDA0001811518010000011.png
US-10509684-B2,Blockchain integration for scalable distributed computations ,EMC IP Holding Company LLC,"Patricia Gomes Soares Florissi, Ofri MASAD",2015-04-06,2019-02-07,2019-12-17,2019-12-17,https://patents.google.com/patent/US10509684B2/en,https://patentimages.storage.googleapis.com/a2/8d/2e/9b0c8c91a62e3e/US10509684-20191217-D00000.png
US-10515097-B2,Analytics platform for scalable distributed computations ,EMC IP Holding Company LLC,"Patricia Gomes Soares Florissi, Ofri MASAD",2015-04-06,2019-02-11,2019-12-24,2019-12-24,https://patents.google.com/patent/US10515097B2/en,https://patentimages.storage.googleapis.com/50/cf/25/c0ffbe13aa3639/US10515097-20191224-D00000.png
US-10496926-B2,Analytics platform for scalable distributed computations ,EMC IP Holding Company LLC,"Patricia Gomes Soares Florissi, Ofri MASAD",2015-04-06,2019-02-11,2019-12-03,2019-12-03,https://patents.google.com/patent/US10496926B2/en,https://patentimages.storage.googleapis.com/b0/02/57/fd88a970bcba36/US10496926-20191203-D00000.png
